,$,private,public,rpar,lpar,id,dot,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,eof,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,attribute,constructorkeyword,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
ADDOP,,,,,,,,,,,,,,,,,,,,,ADDOP → minus SACT1,ADDOP → plus SACT1,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDOP → or SACT1
APARAMS,,,,APARAMS → &epsilon,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,,,,,,,,,,,,,,,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,,,,,,,,,,,,,,,,,,,,,,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,,,
ARRAYOROBJECT,,,,,ARRAYOROBJECT → lpar APARAMS rpar,,,,,ARRAYOROBJECT → SACT2 REPTARRAYSIZE SACT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYOROBJECT → SACT2 REPTARRAYSIZE SACT3,,,,,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr ARRAYSIZE2,,,,,,,
ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE2 → rsqbr,,,,,ARRAYSIZE2 → intlit SACT1 rsqbr,,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP → equal SACT1,
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECL → class id SACT1 SACT2 OPTINHERITS SACT9 lcurbr REPTMEMBERDECL rcurbr semi,,
CLASSDECLORFUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECLORFUNCDEF → SACT2 FUNCDEF SACT8,,,,,,,,CLASSDECLORFUNCDEF → SACT2 CLASSDECL SACT5,,
EXPR,,,,,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,,,,,,,,,,,,,,,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,,,,,,,,,,,,,,,,,,,,,,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,,,
EXPR2,,,,EXPR2 → &epsilon,,,,,,EXPR2 → &epsilon,,,,,,,,,,,,,,EXPR2 → &epsilon,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,,
FACTOR,,,,,FACTOR → lpar ARITHEXPR rpar,FACTOR → id SACT1 FACTOR2 REPTVARIABLEORFUNCTIONCALL,,,,,,,,,,,,,,,FACTOR → SIGN SACT2 FACTOR SACT27,FACTOR → SIGN SACT2 FACTOR SACT27,,,,,,,,,,,,,,,,,,,,,,FACTOR → not SACT1 SACT2 FACTOR SACT27,FACTOR → floatlit SACT1,FACTOR → intlit SACT1,,,
FACTOR2,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → lpar APARAMS rpar,,FACTOR2 → REPTIDNEST1,,,FACTOR2 → REPTIDNEST1,,,,,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,FACTOR2 → REPTIDNEST1
FPARAMS,,,,FPARAMS → &epsilon,,FPARAMS → SACT2 id SACT1 colon TYPE REPTFPARAMS3 REPTFPARAMS4 SACT10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id SACT1 colon TYPE REPTFPARAMSTAIL4,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,,,,,,FUNCBODY → lcurbr SACT2 REPTLOCALVARORSTAT SACT11 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY,,,,,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → function id SACT1 FUNCHEADTAIL,,,,,,,,,,
FUNCHEADMEMBERTAIL,,,,,,FUNCHEADMEMBERTAIL → id SACT1 lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADMEMBERTAIL → constructorkeyword lpar FPARAMS rpar,,,,,,,,,,,,
FUNCHEADTAIL,,,,,FUNCHEADTAIL → lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADTAIL → sr FUNCHEADMEMBERTAIL,,,,,,
IDNEST,,,,,,,IDNEST → dot id IDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST2,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → lpar APARAMS rpar,,IDNEST2 → REPTIDNEST1,,,IDNEST2 → REPTIDNEST1,,,,,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,IDNEST2 → REPTIDNEST1
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → SACT2 lsqbr ARITHEXPR rsqbr SACT28,,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → SACT2 localvar id SACT1 colon TYPE ARRAYOROBJECT semi SACT4,,,,,,,,,
LOCALVARORSTAT,,,,,,LOCALVARORSTAT → SACT2 STATEMENT SACT13,,,,,LOCALVARORSTAT → SACT2 STATEMENT SACT13,LOCALVARORSTAT → SACT2 STATEMENT SACT13,LOCALVARORSTAT → SACT2 STATEMENT SACT13,LOCALVARORSTAT → SACT2 STATEMENT SACT13,,,LOCALVARORSTAT → SACT2 STATEMENT SACT13,,,,,,,,,,,,,,,,,,,,,,,LOCALVARORSTAT → LOCALVARDECL,,,,,,,,,
MEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → SACT2 SACT1 MEMBERVARDECL SACT6,MEMBERDECL → SACT2 SACT1 MEMBERFUNCDECL SACT7,,MEMBERDECL → SACT2 SACT1 MEMBERFUNCDECL SACT7,,,,,,,,,,
MEMBERFUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCDECL → MEMBERFUNCHEAD semi,,MEMBERFUNCDECL → MEMBERFUNCHEAD semi,,,,,,,,,,
MEMBERFUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCHEAD → constructorkeyword colon lpar FPARAMS rpar,,MEMBERFUNCHEAD → function id SACT1 colon lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL → attribute id SACT1 colon TYPE SACT2 REPTARRAYSIZE SACT3 semi,,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and SACT1,MULTOP → div SACT1,MULTOP → mult SACT1,,,,,,,,,,,,,,,
OPTINHERITS,,,,,,,,,,,,,,,,,,,OPTINHERITS → &epsilon,,,,,,,,,,,,OPTINHERITS → isa id SACT1 REPTINHERITSLIST,,,,,,,,,,,,,,,,,,
PROG,,,,,,,,,,,,,,,,,,,,PROG → SACT2 REPTPROG0,,,,,,,,,,,,,,,,,,,PROG → SACT2 REPTPROG0,,,,,,,,PROG → SACT2 REPTPROG0,,
RELEXPR,,,,,RELEXPR → SACT2 ARITHEXPR RELOP ARITHEXPR SACT29,RELEXPR → SACT2 ARITHEXPR RELOP ARITHEXPR SACT29,,,,,,,,,,,,,,,RELEXPR → SACT2 ARITHEXPR RELOP ARITHEXPR SACT29,RELEXPR → SACT2 ARITHEXPR RELOP ARITHEXPR SACT29,,,,,,,,,,,,,,,,,,,,,,RELEXPR → SACT2 ARITHEXPR RELOP ARITHEXPR SACT29,RELEXPR → SACT2 ARITHEXPR RELOP ARITHEXPR SACT29,RELEXPR → SACT2 ARITHEXPR RELOP ARITHEXPR SACT29,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,,RELOP → geq SACT1,RELOP → leq SACT1,RELOP → gt SACT1,RELOP → lt SACT1,RELOP → neq SACT1,RELOP → eq SACT1,,,,,,,,,,,,,,,,,,,
REPTAPARAMS1,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,
REPTARRAYSIZE,,,,,,,,,,REPTARRAYSIZE → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTARRAYSIZE → ARRAYSIZE REPTARRAYSIZE,,,,,,,
REPTFPARAMS3,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → ARRAYSIZE REPTFPARAMS3,,,,,,,
REPTFPARAMS4,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,
REPTIDNEST1,,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,,,,,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → INDICE REPTIDNEST1,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon
REPTINHERITSLIST,,,,,,,,,,,,,,,,,,,REPTINHERITSLIST → &epsilon,,,,,REPTINHERITSLIST → comma id REPTINHERITSLIST,,,,,,,,,,,,,,,,,,,,,,,,,
REPTLOCALVARORSTAT,,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,,,,,,,
REPTMEMBERDECL,,REPTMEMBERDECL → VISIBILITY MEMBERDECL REPTMEMBERDECL,REPTMEMBERDECL → VISIBILITY MEMBERDECL REPTMEMBERDECL,,,,,,,,,,,,,,,REPTMEMBERDECL → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTPROG0,,,,,,,,,,,,,,,,,,,,REPTPROG0 → &epsilon,,,,,,,,,,,,,,,,,,,REPTPROG0 → CLASSDECLORFUNCDEF REPTPROG0,,,,,,,,REPTPROG0 → CLASSDECLORFUNCDEF REPTPROG0,,
REPTSTATBLOCK1,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE,,,,REPTVARIABLE → &epsilon,,,REPTVARIABLE → VARIDNEST REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLEORFUNCTIONCALL,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,REPTVARIABLEORFUNCTIONCALL → IDNEST REPTVARIABLEORFUNCTIONCALL,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon
RETURNTYPE,,,,,,RETURNTYPE → TYPE,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,,RETURNTYPE → void SACT1,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → SACT2 ADDOP TERM SACT22 RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → SACT2 ADDOP TERM SACT22 RIGHTRECARITHEXPR,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,RIGHTRECARITHEXPR → SACT2 ADDOP TERM SACT22 RIGHTRECARITHEXPR
RIGHTRECTERM,,,,RIGHTRECTERM → &epsilon,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → SACT2 MULTOP FACTOR SACT24 RIGHTRECTERM,RIGHTRECTERM → SACT2 MULTOP FACTOR SACT24 RIGHTRECTERM,RIGHTRECTERM → SACT2 MULTOP FACTOR SACT24 RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,,,SIGN → minus,SIGN → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,
START,,,,,,,,,,,,,,,,,,,,START → PROG SACT21 eof,,,,,,,,,,,,,,,,,,,START → PROG SACT21 eof,,,,,,,,START → PROG SACT21 eof,,
STATBLOCK,,,,,,STATBLOCK → STATEMENT,,,,STATBLOCK → &epsilon,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → &epsilon,,STATBLOCK → STATEMENT,,STATBLOCK → lcurbr REPTSTATBLOCK1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,,,STATEMENT → id SACT1 STATEMENTIDNEST semi,,,,,STATEMENT → SACT2 return lpar EXPR rpar semi SACT18,STATEMENT → SACT2 write lpar EXPR rpar semi SACT17,STATEMENT → SACT2 read lpar VARIABLE rpar semi SACT16,STATEMENT → SACT2 while lpar RELEXPR rpar STATBLOCK semi SACT15,,,STATEMENT → SACT2 if lpar RELEXPR rpar then STATBLOCK else STATBLOCK semi SACT14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST,,,,,STATEMENTIDNEST → lpar APARAMS rpar STATEMENTIDNEST2,,STATEMENTIDNEST → dot id STATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST → INDICE REPTIDNEST1 STATEMENTIDNEST3,,,,,,STATEMENTIDNEST → SACT2 ASSIGNOP EXPR SACT23,
STATEMENTIDNEST2,,,,,,,STATEMENTIDNEST2 → dot id STATEMENTIDNEST,,,STATEMENTIDNEST2 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST3,,,,,,,STATEMENTIDNEST3 → dot id STATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST3 → SACT2 ASSIGNOP EXPR SACT23,
TERM,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,
TYPE,,,,,,TYPE → id SACT1,,TYPE → float SACT1,TYPE → integer SACT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,,,VARIABLE → id VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE2,,,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,VARIABLE2 → lpar APARAMS rpar VARIDNEST,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,,,,,,,
VARIDNEST,,,,,,,VARIDNEST → dot id VARIDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST2,,,,VARIDNEST2 → REPTIDNEST1,VARIDNEST2 → lpar APARAMS rpar VARIDNEST,,VARIDNEST2 → REPTIDNEST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIDNEST2 → REPTIDNEST1,,,,,,,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
